Constellation,From,To
Cancer,1947-07-21,1947-08-10
Leo,1947-08-11,1947-09-16
Virgo,1947-09-17,1947-10-31
Libra,1947-11-01,1947-11-23
Scorpius,1947-11-24,1947-11-29
Ophiucus,1947-11-30,1947-12-18
Sagittarius,1947-12-19,1947-01-19
Capricornus,1947-01-20,1947-02-16
Aquarius,1948-02-17,1948-03-11
Pisces,1948-03-12,1948-04-18
Aries,1948-04-19,1948-05-13
Taurus,1948-05-14,1948-06-20
Gemini,1948-06-21,1948-07-20
Cancer,1948-07-21,1948-08-10
Leo,1948-08-11,1948-09-16
Virgo,1948-09-17,1948-10-30
Libra,1948-10-31,1948-11-22
Scorpius,1948-11-23,1948-11-29
Ophiucus,1948-11-30,1948-12-17
Sagittarius,1948-12-18,1948-01-20
Capricornus,1948-01-21,1948-02-16
Aquarius,1949-02-16,1949-03-11
Pisces,1949-03-12,1949-04-18
Aries,1949-04-19,1949-05-13
Taurus,1949-05-14,1949-06-21
Gemini,1949-06-22,1949-07-20
Cancer,1949-07-21,1949-08-10
Leo,1949-08-11,1949-09-16
Virgo,1949-09-17,1949-10-30
Libra,1949-10-31,1949-11-22
Scorpius,1949-11-23,1949-11-29
Ophiucus,1949-11-30,1949-12-17
Sagittarius,1949-12-18,1949-01-19
Capricornus,1949-01-20,1949-02-15
Aquarius,1950-02-17,1950-03-12
Pisces,1950-03-13,1950-04-18
Aries,1950-04-19,1950-05-14
Taurus,1950-05-15,1950-06-21
Gemini,1950-06-22,1950-07-20
Cancer,1950-07-21,1950-08-10
Leo,1950-08-11,1950-09-16
Virgo,1950-09-17,1950-10-31
Libra,1950-11-01,1950-11-23
Scorpius,1950-11-24,1950-11-29
Ophiucus,1950-11-30,1950-12-18
Sagittarius,1950-12-19,1950-01-19
Capricornus,1950-01-20,1950-02-16
Aquarius,1951-02-17,1951-03-12
Pisces,1951-03-13,1951-04-18
Aries,1951-04-19,1951-05-14
Taurus,1951-05-15,1951-06-21
Gemini,1951-06-22,1951-07-20
Cancer,1951-07-21,1951-08-10
Leo,1951-08-11,1951-09-16
Virgo,1951-09-17,1951-10-31
Libra,1951-11-01,1951-11-23
Scorpius,1951-11-24,1951-11-30
Ophiucus,1951-12-01,1951-12-18
Sagittarius,1951-12-19,1951-01-19
Capricornus,1951-01-20,1951-02-16
Aquarius,1952-02-17,1952-03-11
Pisces,1952-03-12,1952-04-18
Aries,1952-04-19,1952-05-13
Taurus,1952-05-14,1952-06-20
Gemini,1952-06-21,1952-07-20
Cancer,1952-07-21,1952-08-10
Leo,1952-08-11,1952-09-16
Virgo,1952-09-17,1952-10-30
Libra,1952-10-31,1952-11-22
Scorpius,1952-11-23,1952-11-29
Ophiucus,1952-11-30,1952-12-17
Sagittarius,1952-12-18,1952-01-20
Capricornus,1952-01-21,1952-02-16
Aquarius,1953-02-16,1953-03-11
Pisces,1953-03-12,1953-04-18
Aries,1953-04-19,1953-05-13
Taurus,1953-05-14,1953-06-21
Gemini,1953-06-22,1953-07-20
Cancer,1953-07-21,1953-08-10
Leo,1953-08-11,1953-09-16
Virgo,1953-09-17,1953-10-30
Libra,1953-10-31,1953-11-22
Scorpius,1953-11-23,1953-11-29
Ophiucus,1953-11-30,1953-12-17
Sagittarius,1953-12-18,1953-01-19
Capricornus,1953-01-20,1953-02-15
Aquarius,1954-02-17,1954-03-12
Pisces,1954-03-13,1954-04-18
Aries,1954-04-19,1954-05-14
Taurus,1954-05-15,1954-06-21
Gemini,1954-06-22,1954-07-20
Cancer,1954-07-21,1954-08-10
Leo,1954-08-11,1954-09-16
Virgo,1954-09-17,1954-10-31
Libra,1954-11-01,1954-11-23
Scorpius,1954-11-24,1954-11-29
Ophiucus,1954-11-30,1954-12-18
Sagittarius,1954-12-19,1954-01-19
Capricornus,1954-01-20,1954-02-16
Aquarius,1955-02-17,1955-03-12
Pisces,1955-03-13,1955-04-18
Aries,1955-04-19,1955-05-14
Taurus,1955-05-15,1955-06-21
Gemini,1955-06-22,1955-07-20
Cancer,1955-07-21,1955-08-10
Leo,1955-08-11,1955-09-16
Virgo,1955-09-17,1955-10-31
